,Interpolation RMSE,Interpolation MAE,Interpolation Spatial corr,Interpolation Std ratio,U-Net T+Elev RMSE,U-Net T+Elev MAE,U-Net T+Elev Spatial corr,U-Net T+Elev Std ratio,Transformer T+Elev RMSE,Transformer T+Elev MAE,Transformer T+Elev Spatial corr,Transformer T+Elev Std ratio
2022-08-12,1.1992784,0.9224693,0.9300295356017577,1.040843,0.9373138,0.7595703,0.9641783207942354,1.0201752,0.8535221,0.66606474,0.9671863430490332,0.9743551
2022-08-13,1.1301914,0.8798513,0.8781775059082402,1.0712862,0.835651,0.6694994,0.9457751918285398,1.1053228,0.7796097,0.6178001,0.9446889393089741,1.0449939
2022-08-14,1.5553027,1.2123653,0.7547925996668731,1.0814898,0.9755708,0.75849366,0.8920884125799772,1.0066682,0.9159348,0.6962596,0.8980239646594819,0.94669646
2022-08-15,1.7355407,1.3410592,0.8582883789846465,0.7533559,1.6328948,1.1552829,0.9142715796065798,0.682545,1.6311164,1.1509514,0.9212939206337036,0.6533111
2022-08-16,1.539117,1.1835456,0.739236199719801,0.942042,1.1412109,0.78460073,0.8420290297148162,0.8622158,1.1559832,0.8070873,0.8349999634101716,0.8373591
2022-08-17,1.4369639,1.1393194,0.8560806896053919,0.8364488,1.0829673,0.84971976,0.9242972640057344,0.85873985,1.1481236,0.868282,0.9202256510954238,0.77328306
2022-08-18,1.3803896,1.063959,0.9438678292056925,1.0576682,0.93094844,0.7183074,0.9683313583651175,1.0396202,0.8976311,0.69479,0.9683852788997854,0.9616885
2022-08-19,1.4686545,1.0918208,0.8197798722689479,0.9813165,0.8640226,0.68804014,0.9373877002924539,0.8522093,0.9506166,0.7703481,0.9285522566298248,0.80785125
2022-08-20,1.6519991,1.2023239,0.6315434404760619,1.1625011,0.94258773,0.7492799,0.8619837558870529,0.9276077,0.93289477,0.74788463,0.8705881838820142,0.9130279
2022-08-21,1.745784,1.3169363,0.7364357638543794,1.0694138,1.1278855,0.9115632,0.8535319363302324,0.86530733,1.1551766,0.9353332,0.8540289941208964,0.8569589
2022-08-22,1.6878031,1.3432605,0.8291146169427986,1.0822179,1.0379449,0.8367618,0.9142611007338285,1.0589317,1.0852666,0.87354314,0.9018859282927191,1.0073392
2022-08-23,1.60858,1.2981011,0.8749902708724064,1.1372938,1.1080897,0.8930639,0.9316955135005931,1.0894485,1.0358527,0.827012,0.9335829982604045,1.0347145
2022-08-24,1.316368,1.0151149,0.8875953884092936,1.0670973,0.741713,0.59625715,0.9613955612633981,1.0454022,0.7613892,0.610275,0.9554071298892383,0.9800474
2022-08-25,1.548422,1.1958085,0.8920870346428855,1.0662344,0.91014093,0.7316488,0.9550622518380186,0.97293025,0.9809052,0.7859132,0.9506317836785273,0.9325182
2022-08-26,1.709544,1.382691,0.9126835715508425,0.9519203,1.2553338,0.9565008,0.9627336908408648,0.8863092,1.3633829,1.0054423,0.956129807314726,0.84162724
2022-08-27,1.4585173,1.1570656,0.9421657461544773,1.1029142,0.8854728,0.72313136,0.9740626777769829,1.061555,0.8116766,0.6449087,0.975855238805433,0.9983773
2022-08-28,1.3545094,1.0243028,0.879278978111594,1.1136304,0.7828945,0.61065227,0.9547639865227681,1.0381067,0.77724355,0.6031443,0.9512052261773145,0.9535184
2022-08-29,1.4307644,1.0901123,0.7766860802193031,1.1759319,0.88819563,0.7206668,0.9024982923127894,1.0398241,0.8652249,0.70243067,0.9010100217449377,0.9770013
2022-08-30,1.455461,1.0968928,0.8986102513594114,0.95724183,1.1506162,0.8911998,0.9467738826511363,0.8183631,1.1258868,0.8691615,0.9486676849123646,0.8328238
2022-08-31,1.223436,0.94682246,0.903205347144474,1.0192399,0.95254403,0.7738993,0.9657107324965886,1.0135275,0.89013404,0.7241223,0.9666826826680271,0.9734523
2023-06-01,2.1830108,1.4645022,0.7500522994642344,1.2468078,1.4159653,1.0804919,0.8674752524023324,0.75669456,1.4993637,1.1040052,0.8446492715893347,0.7774032
2023-06-02,2.2425222,1.6068087,0.8115170200619839,1.4755327,1.3075554,1.0220052,0.8954534789302935,1.0557268,1.3184543,1.0053304,0.8911382831091742,1.0566578
2023-06-03,2.0947032,1.5886694,0.963368569260247,0.9663887,2.4926262,1.8999023,0.9719211280210923,0.89227825,2.454516,1.8135368,0.9686352914371364,0.86248225
2023-06-04,1.1833911,0.9498862,0.9766476126579635,1.0457963,1.1621087,0.90401906,0.97962222935891,0.9620866,1.1022842,0.8732928,0.9792066931775746,0.9523532
2023-06-05,1.3288358,1.0560764,0.9574180980906293,1.1021925,0.9638802,0.79134274,0.9796956651889593,1.0432965,0.87121695,0.6919133,0.9799413864797246,1.0056872
2023-06-06,1.5176264,1.1944484,0.9478332907879907,1.0669109,1.1559242,0.8988609,0.9711712854462365,1.0173781,1.1913598,0.9363438,0.966297407968997,0.9852346
2023-06-07,1.41433,1.1292479,0.953498301297035,1.0452927,1.0739988,0.85881954,0.9730168969959659,1.0074893,1.025199,0.8321698,0.9745067259117393,0.99282694
2023-06-08,1.4731886,1.1700113,0.9298795455827161,1.0416498,1.1108857,0.88689977,0.9488403609792824,1.002257,0.9807997,0.7935938,0.959878967404453,1.0017722
2023-06-09,1.4627006,1.1675088,0.9237339294940506,1.1331546,1.0123545,0.81841487,0.9531117608863089,1.086082,0.92194515,0.7358097,0.9616685271228603,1.0860426
2023-06-10,1.6101911,1.2622409,0.9370704769359429,1.0795002,0.96666634,0.77137786,0.9705398387058392,1.0676538,0.91193545,0.72959214,0.9705937411853544,0.9997987
2023-06-11,1.9526572,1.4825267,0.8270196168886988,1.2288024,1.1486027,0.9286953,0.9161234888556388,1.1075771,1.1603715,0.94424844,0.9137096985915326,1.0710064
2023-06-12,1.9028268,1.4217372,0.7618967543566494,0.911664,1.351601,1.0331477,0.8979340751768071,0.8218738,1.3461524,1.0146593,0.8975211610144294,0.79192173
2023-06-13,1.5576731,1.1783997,0.8767804516447851,1.0611188,1.176614,0.94421226,0.9169173521987848,1.0182457,1.1059418,0.86041296,0.9238250518757192,0.98236364
2023-06-14,1.6882604,1.350078,0.9183262240085692,1.0150096,1.1612681,0.9378404,0.9489362091766064,0.97539836,1.1124862,0.8948591,0.9526344210066443,0.9563977
2023-06-15,1.7684256,1.4191016,0.8373678935399455,1.2467049,1.2851398,0.977215,0.9011825166419594,1.246336,1.1109126,0.8615443,0.9142191188330937,1.1596274
2023-06-16,2.001876,1.5848231,0.8538110691044984,0.96866095,1.5816859,1.3128403,0.8962950392092869,0.9501897,1.5440028,1.2538053,0.8995528597029522,0.9045067
2023-06-17,1.1972692,0.9252104,0.9650377845119125,1.0368901,1.085551,0.87720084,0.9825101412669889,1.018236,1.0575553,0.8558865,0.9813266575906825,0.97489023
2023-06-18,1.4851166,1.183739,0.9624845716215638,1.0397218,1.0810232,0.8125855,0.9776335178396305,1.0090371,1.0042375,0.75087655,0.9797333545444945,0.96226287
2023-06-19,1.66776,1.335145,0.9478089290208411,1.1482195,1.0043814,0.7974922,0.9757362555356002,1.1011008,0.88676375,0.6916827,0.9769928965052399,1.0282683
2023-06-20,1.3971086,1.0846525,0.8918067624516441,1.1461782,1.0602353,0.8472339,0.9180497005342273,1.0884964,0.9583277,0.7724656,0.922005638715824,0.9854976
2023-06-21,2.000793,1.5467361,0.7303475240729261,0.7542473,1.8758521,1.3819016,0.7958674976523513,0.680345,1.9719949,1.452869,0.7762439200958773,0.6213608
2023-06-22,1.5774951,1.1194799,0.9131819225864891,0.9252718,1.2437959,0.99229205,0.9479234553549581,0.84446,1.336361,1.0827947,0.943132587700924,0.81218016
2023-06-23,1.7991177,1.3633204,0.8496971764269846,0.91502225,1.2613935,1.0388741,0.91466051312847,0.8240125,1.2798421,1.0349046,0.9215938385257167,0.764604
2023-06-24,1.5569729,1.1662667,0.8132463265961603,1.0564319,0.9349697,0.73016155,0.9103348212443536,0.98658687,0.90990496,0.71102613,0.9137267991666995,0.93268466
2023-06-25,1.8727201,1.403488,0.6967477969413053,1.25981,1.0898358,0.8719131,0.8654357136451344,1.1191115,1.1352658,0.9084194,0.8653891091249428,1.0854825
2023-06-26,1.8335959,1.4746333,0.9029543373255994,0.99652505,1.4298275,1.1563396,0.9345280421022424,0.96617824,1.508647,1.2269435,0.9264570046900006,0.91062987
2023-06-27,1.5955527,1.2722765,0.8760880807443303,1.074707,1.1129851,0.88437647,0.9204128745661108,1.0889493,0.96217394,0.77955794,0.9335365738663648,1.0128407
2023-06-28,1.4242883,1.1408525,0.8933170222405549,0.9952213,1.0709945,0.8564911,0.9346754635280241,0.98703885,1.0830895,0.8350011,0.9313165559338527,0.93582237
2023-06-29,1.436424,1.1397088,0.8535293221713932,1.0589056,0.985602,0.7945137,0.9201627335619161,1.0566995,0.8960809,0.7214397,0.9276546642970255,0.9897487
2023-06-30,1.792698,1.4015733,0.6565831778309577,1.3992982,1.1858823,0.964443,0.8104115099933288,1.2618359,1.0711502,0.84485644,0.81972237461536,1.1532925
2023-07-01,1.6969243,1.2998163,0.7482118430258361,1.2859873,1.0960141,0.8790588,0.8667521153675256,1.1642932,1.0297657,0.816631,0.8586829337870043,1.0413609
2023-07-02,1.4200376,1.0761425,0.9482623126061334,0.963615,1.1511945,0.921619,0.9685032291202793,0.92748797,1.1611284,0.9224297,0.9698094875852793,0.88145137
2023-07-03,1.6473266,1.2731131,0.8936994527364778,1.0867851,1.032663,0.82354873,0.9457802997044489,1.015497,1.0822307,0.87876815,0.9390856282453186,0.98313713
2023-07-04,1.8003498,1.4274118,0.838858546920488,1.1071509,1.2091866,0.98948777,0.9171064501544018,1.0675524,1.2244731,0.9920102,0.9112151196513358,1.0004818
2023-07-05,1.9129204,1.4927946,0.6334786481550144,1.2781938,1.5419928,1.2726995,0.7957887998393611,1.1889887,1.5025513,1.2444572,0.8088496834972035,1.1403998
2023-07-06,1.7826536,1.310733,0.5352774899185351,1.3125073,1.4517034,1.2417766,0.7262133584207455,1.0671419,1.37224,1.1563294,0.737626942255403,1.052647
2023-07-07,1.7206689,1.342486,0.7977689343561922,1.070883,1.4222797,1.1324923,0.8170410490693419,0.92074674,1.406495,1.1142461,0.8330800798672799,0.9017394
2023-07-08,1.6398258,1.2571138,0.7840186052747861,1.1877857,1.1495928,0.9172297,0.8551894517386636,1.0446976,1.0778606,0.8689896,0.8772699905201133,1.002641
2023-07-09,1.7478106,1.3610353,0.7294213673547832,0.92750984,1.2741339,0.9652457,0.8362874964417933,0.893245,1.2601457,0.9491416,0.8374318598672783,0.8574573
2023-07-10,1.3497233,1.0628555,0.9403614802816684,1.0918685,1.146887,0.9269069,0.9495417463626233,1.0788503,1.1025724,0.88738465,0.9477406128517937,1.0170573
2023-07-11,1.3451508,1.0061735,0.8304943526689218,1.100388,0.79158616,0.60500735,0.9371091932526067,1.039281,0.7921263,0.6161388,0.9330715935043993,1.0008397
2023-07-12,1.6850293,1.2718614,0.8640049513653549,1.1624755,1.0077492,0.7988237,0.936388381821307,1.0371636,1.0282192,0.8266696,0.9397398456954976,1.0332721
2023-07-13,1.8027142,1.3848225,0.8377959746600394,1.2612842,1.1223863,0.9015199,0.9220581224062107,1.112839,1.0815059,0.8596272,0.9294169065408534,1.1050928
2023-07-14,1.741366,1.3848301,0.8260695779845102,1.2547807,1.1177095,0.9019182,0.9036043072885551,1.1508695,1.0509877,0.86061364,0.9135519441812687,1.1058714
2023-07-15,1.6101091,1.2885867,0.8185433364189412,1.1327293,1.0569763,0.8753175,0.9084913118341774,1.0411217,1.041313,0.87361175,0.9103066751034354,0.9850003
2023-07-16,1.4719269,1.1731966,0.8678060264234572,1.1364893,1.1421688,0.9151671,0.9016967411633565,1.1152533,1.1239154,0.8974853,0.8903959788419924,1.0187448
2023-07-17,1.3696986,1.0012119,0.7913530908381297,1.0486541,0.80330104,0.63347644,0.9205802989015216,1.0182498,0.79535174,0.6274591,0.9241315116384377,0.9916513
2023-07-18,1.6529658,1.3489307,0.8454864211201392,1.2141525,1.0779326,0.8586458,0.9128997394409452,1.1396713,1.0277056,0.8280595,0.9243234377943546,1.1349231
2023-07-19,1.4661124,1.1377254,0.7632021722806083,1.0665458,1.0128155,0.79197055,0.8580428666407759,1.0084193,0.99998033,0.78573763,0.8618469411832105,0.9836506
2023-07-20,1.6695943,1.3342056,0.7840719678595335,1.2446946,1.0241064,0.7915785,0.9048482224904049,1.1810637,0.97223186,0.77146894,0.9124046752232612,1.1004127
2023-07-21,1.6245519,1.3157259,0.8806884435183099,1.1408201,1.087555,0.8726936,0.9357607399338612,1.0995584,1.0146121,0.80157644,0.9401825083732686,1.0594804
2023-07-22,1.5651584,1.2452837,0.8048940517996866,1.2105312,1.108348,0.87292945,0.8872447552704383,1.2232463,1.0406048,0.82938087,0.893447488558766,1.1693971
2023-07-23,1.6961097,1.3803118,0.7525374020886705,1.1597084,0.9937208,0.79176736,0.909231140133943,1.127322,1.0219231,0.8198198,0.9111455078139484,1.0936179
2023-07-24,1.6369874,1.2942165,0.6238770659286381,1.2005993,1.0685544,0.86642087,0.799029599411461,1.109895,1.0789515,0.87780535,0.7932178391816268,1.0638047
2023-07-25,1.6676873,1.3461,0.8249467854842849,1.0664067,1.0459721,0.84935355,0.9079402309291321,1.011304,1.0494088,0.8636012,0.9110940453407045,0.957091
