,Interpolation RMSE,Interpolation MAE,Interpolation Bias,Interpolation Spatial corr,U-Net T+Elev RMSE,U-Net T+Elev MAE,U-Net T+Elev Bias,U-Net T+Elev Spatial corr,Transformer T+Elev RMSE,Transformer T+Elev MAE,Transformer T+Elev Bias,Transformer T+Elev Spatial corr,Truth Tmax mean (deg C),Dew point mean (deg C),U-Net minus Transformer RMSE,Transformer beats U-Net,U-Net beats interpolation,Transformer beats interpolation,Precip mean (mm day-1),Gust max mean (m s-1),Low cloud cover mean (%),Total cloud cover mean (%),Temperature regime,Humidity regime,Rain regime,Wind regime,Cloud regime,Low-cloud regime,Rainy day,Very wet day,Very windy day,Very cloudy day,Hot and wet,Hot and cloudy,Hot and humid
2022-07-04,1.371415,1.0514406,-0.31541988,0.8973459172125672,0.78379005,0.6214677,0.1553413,0.9641532783303429,0.8147675,0.65220016,0.073396534,0.9601742497438757,26.94712,10.914058,-0.030977428,False,True,True,4.328242,10.613859,6.9947405,40.252625,Moderate,Dry,Moderate rain,Moderate wind,Clear,Low low-cloud,True,False,False,False,False,False,False
2022-07-05,1.7258012,1.306787,0.061288618,0.8669718580206497,1.5752838,1.1078731,0.6454702,0.9111334892045196,1.5239694,1.0658715,0.5090721,0.9134298947729586,25.407639,15.825203,0.051314354,True,True,True,4.129312,11.128837,10.616604,80.807434,Moderate,Moderate humidity,Moderate rain,Windy,Cloudy,Low low-cloud,True,False,False,True,False,False,False
2022-07-06,1.4389352,1.0877131,-0.3625047,0.9425533062652062,0.8861853,0.7056862,0.1328558,0.9754232226162144,0.78575236,0.61351216,0.029876899,0.9797832610547353,26.344652,17.246437,0.10043293,True,True,True,7.948346,14.261995,34.904205,74.548096,Moderate,Moderate humidity,Wet,Windy,Cloudy,High low-cloud,True,True,True,False,False,False,False
2022-07-07,1.4487665,1.1028818,-0.4804914,0.7984416550475146,1.1430118,0.86973476,0.11376383,0.8528489976862118,1.14357,0.85885024,-0.017199196,0.8433821041849913,26.528923,15.0741205,-0.0005581379,False,True,True,5.5477777,10.613182,21.618196,52.062344,Moderate,Moderate humidity,Wet,Moderate wind,Clear,Moderate low-cloud,True,False,False,False,False,False,False
2022-07-08,1.46352,1.1356616,-0.46862635,0.850115347027797,0.8263268,0.63292885,0.015142642,0.9345560958193205,0.84124064,0.6406186,-0.13065425,0.932609709472302,27.503117,16.024761,-0.014913857,False,True,True,4.7190156,10.256379,21.426294,69.59731,Moderate,Moderate humidity,Wet,Moderate wind,Cloudy,Moderate low-cloud,True,False,False,False,False,False,False
2022-07-09,1.5189219,1.1776901,0.060539346,0.8292523690226626,1.6196176,1.2192286,0.6434337,0.8231053584573906,1.5794854,1.1848142,0.4731,0.8130209057831529,24.430658,12.728456,0.040132165,True,False,False,4.716658,9.789112,12.884704,51.988785,Cool,Dry,Wet,Moderate wind,Clear,Low low-cloud,True,False,False,False,False,False,False
2022-07-10,1.2777358,0.9495231,-0.17595676,0.7428549683696636,0.9416288,0.71133816,0.41891617,0.8681895423138272,0.9132505,0.6971341,0.25535497,0.8576879138052921,25.984766,10.635681,0.028378308,True,True,True,3.6952267,10.321284,8.616094,45.137295,Moderate,Dry,Moderate rain,Moderate wind,Clear,Low low-cloud,True,False,False,False,False,False,False
2022-07-11,1.4369986,1.1130393,0.16533749,0.7247412821744647,0.85594046,0.68374485,0.4116886,0.8862814606718253,0.82736397,0.6608469,0.3185553,0.8816945311741065,28.319164,13.025557,0.028576493,True,True,True,1.5112065,10.92244,6.3071556,43.303543,Hot,Dry,Dry,Moderate wind,Clear,Low low-cloud,True,False,False,False,False,False,False
2022-07-12,1.6145666,1.2934226,-0.1491425,0.8228389027445059,1.0372691,0.8316,0.052231006,0.9146043433224682,1.101593,0.88434505,-0.0005691262,0.9029587715483642,29.302942,17.143711,-0.0643239,False,True,True,2.6273627,13.386604,14.320006,35.460438,Hot,Moderate humidity,Moderate rain,Windy,Clear,Low low-cloud,True,False,True,False,False,False,False
2022-07-13,1.6237664,1.2167366,-0.6137725,0.8663267939094454,0.8923221,0.6841005,-0.20782992,0.9479213603635674,0.969953,0.7370171,-0.3625543,0.9429247456000939,28.480705,15.835227,-0.07763088,False,True,True,0.700494,10.499265,17.93916,44.01971,Hot,Moderate humidity,Dry,Moderate wind,Clear,Low low-cloud,False,False,False,False,False,False,False
2022-07-14,1.810975,1.3325276,-0.5451147,0.875824483706182,1.3676165,0.9876216,-0.055609614,0.9176392669330463,1.2037954,0.9074424,-0.17461678,0.9354298107872822,26.843649,15.283351,0.1638211,True,True,True,3.3474016,8.545708,25.828781,61.493187,Moderate,Moderate humidity,Moderate rain,Calm,Partly cloudy,Moderate low-cloud,True,False,False,False,False,False,False
2022-07-15,1.4542744,1.1186966,-0.37982306,0.806219533450677,0.776411,0.6152995,0.05197322,0.9323275920374211,0.749508,0.58780724,-0.069225095,0.933846791296097,27.787157,12.711587,0.026902974,True,True,True,1.4507855,8.644568,20.499264,60.506184,Moderate,Dry,Dry,Calm,Partly cloudy,Moderate low-cloud,True,False,False,False,False,False,False
2022-07-16,1.6024361,1.25264,-0.72230184,0.6504362252562194,1.0525591,0.8270633,-0.27296737,0.8152760767980469,1.0753398,0.8449559,-0.34929252,0.8088805316521924,28.075624,14.799602,-0.022780657,False,True,True,1.846142,8.924925,8.203998,66.50097,Moderate,Moderate humidity,Dry,Calm,Cloudy,Low low-cloud,True,False,False,False,False,False,False
2022-07-17,1.6348265,1.2077799,-0.15295736,0.6747780970821665,0.9702376,0.7599731,0.04748687,0.8521717898848872,0.98409516,0.76928884,0.013566857,0.843627042995709,29.146465,17.047743,-0.0138575435,False,True,True,3.0094774,9.463357,13.957743,62.723423,Hot,Moderate humidity,Moderate rain,Calm,Partly cloudy,Low low-cloud,True,False,False,False,False,False,False
2022-07-18,1.5850022,1.2371978,-0.42011735,0.8991153885205239,1.0151904,0.78263235,0.11277839,0.9521180052140492,1.0817364,0.8425614,0.081339225,0.9452153018186394,27.383678,19.961256,-0.06654608,False,True,True,8.0974045,12.024788,29.723093,83.36726,Moderate,Humid,Wet,Windy,Cloudy,High low-cloud,True,True,False,True,False,False,False
2022-07-19,1.4260348,1.0091271,-0.2544031,0.768038226286202,0.9021401,0.71865773,-0.25005004,0.9123943471353823,0.9097718,0.7223019,-0.22070521,0.908765639101062,30.233936,18.992752,-0.007631719,False,True,True,6.340835,15.146196,27.6129,59.288994,Hot,Humid,Wet,Windy,Partly cloudy,Moderate low-cloud,True,False,True,False,True,False,True
2022-07-20,1.7603722,1.2948618,-0.6032482,0.7412125596635103,1.2954373,1.077732,-0.8623662,0.8934318694200388,1.2519726,1.0139055,-0.83804756,0.8955821254586338,32.079704,18.817318,0.04346478,True,True,True,2.1496658,12.484923,7.2184267,30.91715,Hot,Humid,Dry,Windy,Clear,Low low-cloud,True,False,False,False,False,False,True
2022-07-21,1.5719697,1.1986922,-0.40489507,0.7876131428191042,1.1303463,0.9306008,-0.529061,0.8936152551593732,1.0548563,0.8526788,-0.48012316,0.9064694008533393,31.27241,19.834824,0.07549,True,True,True,2.6328979,13.593967,16.39391,39.281334,Hot,Humid,Moderate rain,Windy,Clear,Low low-cloud,True,False,True,False,False,False,True
2022-07-22,1.6265571,1.1830093,-0.7014663,0.8079858099982343,1.1229715,0.92390937,-0.79502565,0.9369720784707267,1.1716977,0.956048,-0.7913071,0.9244391202708123,31.490053,17.811066,-0.0487262,False,True,True,1.5331614,12.052564,23.265032,46.67341,Hot,Humid,Dry,Windy,Clear,Moderate low-cloud,True,False,False,False,False,False,True
2022-07-23,1.6345879,1.1690882,-0.49346805,0.7539038560886674,1.2176514,1.0134958,-0.8826651,0.9175017446820113,1.1851941,0.97407085,-0.8076626,0.9105773956474378,32.650215,17.375368,0.032457232,True,True,True,1.139038,11.017467,14.9883,42.37471,Hot,Moderate humidity,Dry,Moderate wind,Clear,Low low-cloud,True,False,False,False,False,False,False
2022-07-24,1.5456874,1.1555648,-0.14602794,0.8233249790817311,1.0695665,0.86355615,-0.50606877,0.9248193182524089,1.0348662,0.82522374,-0.43454474,0.9253787970883046,32.349377,18.49077,0.034700274,True,True,True,2.858954,12.872787,18.797533,60.864017,Hot,Humid,Moderate rain,Windy,Partly cloudy,Low low-cloud,True,False,False,False,False,False,True
2022-07-25,1.5113189,1.1677784,0.12219705,0.8831610581304619,1.308761,1.0455942,0.4881097,0.9190166569589728,1.324243,1.0602173,0.36846116,0.9107951770292992,28.165195,19.215254,-0.015481949,False,True,True,4.524411,15.153782,23.448227,57.30171,Hot,Humid,Moderate rain,Windy,Partly cloudy,Moderate low-cloud,True,False,True,False,False,False,True
