,Interpolation RMSE,Interpolation MAE,Interpolation Bias,Interpolation Spatial corr,U-Net T+Elev RMSE,U-Net T+Elev MAE,U-Net T+Elev Bias,U-Net T+Elev Spatial corr,Transformer T+Elev RMSE,Transformer T+Elev MAE,Transformer T+Elev Bias,Transformer T+Elev Spatial corr,Truth Tmax mean (deg C),Truth Tmax p95 (deg C),Dew point mean (deg C),Solar radiation mean (MJ m-2 day-1),U-Net minus Transformer RMSE,Transformer beats U-Net,U-Net beats interpolation,Transformer beats interpolation,Temperature regime,Humidity regime,Cloud regime,Hot and cloudy,Hot and humid,Cool and cloudy
2022-06-30,1.5294496,1.1487781,-0.48930046,0.9150925581668788,0.7722448,0.6185144,-0.10366683,0.9742705058232386,0.71601486,0.55432236,-0.14398864,0.9772136822256994,27.494497,31.850006103515625,13.30455,1.1428105,0.05622995,True,True,True,Moderate,Dry,Sunny,False,False,False
2022-07-01,1.653821,1.2413436,-0.5296717,0.7980600735458577,0.9932786,0.79814607,-0.44730482,0.91148671446465,0.9468308,0.753755,-0.4491256,0.9211341394870567,30.384014,33.350006103515625,16.41993,1.0337527,0.046447814,True,True,True,Hot,Moderate humidity,Sunny,False,False,False
2022-07-02,1.4394954,1.1045134,0.085215084,0.8571004916867433,0.9626366,0.7724423,0.47166252,0.9481860430545759,0.9315957,0.74616915,0.4397597,0.9504108776749697,28.10535,32.350006103515625,17.30913,0.9181823,0.031040907,True,True,True,Moderate,Moderate humidity,Partly cloudy,False,False,False
2022-07-03,1.3730608,1.0528798,-0.27586776,0.8876918429212551,0.81661457,0.6411822,0.20670252,0.957270150687168,0.7327546,0.5706968,0.103069924,0.962523122820316,26.784338,30.649993896484375,12.348223,1.1203545,0.08385998,True,True,True,Moderate,Dry,Sunny,False,False,False
2022-07-04,1.371415,1.0514406,-0.31541988,0.8973459172125672,0.78379005,0.6214677,0.1553413,0.9641532783303429,0.8147675,0.65220016,0.073396534,0.9601742497438757,26.94712,30.95001220703125,10.914058,1.1218231,-0.030977428,False,True,True,Moderate,Dry,Sunny,False,False,False
2022-07-05,1.7258012,1.306787,0.061288618,0.8669718580206497,1.5752838,1.1078731,0.6454702,0.9111334892045196,1.5239694,1.0658715,0.5090721,0.9134298947729586,25.407639,30.95001220703125,15.825203,0.6138789,0.051314354,True,True,True,Moderate,Moderate humidity,Cloudy,False,False,False
2022-07-06,1.4389352,1.0877131,-0.3625047,0.9425533062652062,0.8861853,0.7056862,0.1328558,0.9754232226162144,0.78575236,0.61351216,0.029876899,0.9797832610547353,26.344652,32.95001220703125,17.246437,0.8434433,0.10043293,True,True,True,Moderate,Moderate humidity,Partly cloudy,False,False,False
2022-07-07,1.4487665,1.1028818,-0.4804914,0.7984416550475146,1.1430118,0.86973476,0.11376383,0.8528489976862118,1.14357,0.85885024,-0.017199196,0.8433821041849913,26.528923,29.850006103515625,15.0741205,0.8350847,-0.0005581379,False,True,True,Moderate,Moderate humidity,Partly cloudy,False,False,False
2022-07-08,1.46352,1.1356616,-0.46862635,0.850115347027797,0.8263268,0.63292885,0.015142642,0.9345560958193205,0.84124064,0.6406186,-0.13065425,0.932609709472302,27.503117,30.75,16.024761,0.8919058,-0.014913857,False,True,True,Moderate,Moderate humidity,Partly cloudy,False,False,False
2022-07-09,1.5189219,1.1776901,0.060539346,0.8292523690226626,1.6196176,1.2192286,0.6434337,0.8231053584573906,1.5794854,1.1848142,0.4731,0.8130209057831529,24.430658,28.649993896484375,12.728456,0.9981115,0.040132165,True,False,False,Cool,Dry,Sunny,False,False,False
